Timestep	Deaths	Casualties	Evacuees	Sheltered
1	0	0	0	0
2	0	0	0	0
3	0	1	0	0
4	0	2	0	0
5	0	2	0	0
6	0	2	0	0
7	0	2	0	0
8	0	1	6	1
9	0	3	15	0
10	0	2	23	1
11	0	7	38	0
12	0	2	37	1
13	0	2	37	1
14	0	0	35	1
15	0	0	29	1
16	0	0	21	0
17	0	0	8	0
18	0	0	0	0
19	0	0	0	0
20	0	0	1	1
21	0	1	9	0
22	0	0	17	1
23	0	0	21	0
24	0	0	20	1
25	0	0	17	1
26	0	0	10	1
27	0	0	6	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	4	36	1
33	0	10	62	1
34	0	16	63	2
35	0	23	70	1
36	0	25	69	2
37	0	20	70	1
38	0	6	69	2
39	0	2	69	2
40	0	0	68	2
41	0	0	63	2
42	0	0	64	1
43	0	0	62	2
44	0	0	35	1
45	0	4	51	3
46	0	4	58	3
47	0	6	62	3
48	0	14	64	3
49	0	6	64	3
50	0	1	64	3
51	0	1	64	3
52	0	0	63	3
53	0	1	58	3
54	0	0	57	3
55	0	0	38	2
56	0	0	8	1
57	0	0	2	0
58	0	0	2	0
59	0	0	26	4
60	0	1	43	3
61	0	4	53	0
62	0	7	61	0
63	0	15	62	0
64	0	14	63	0
65	0	19	64	0
66	0	22	64	0
67	0	15	64	0
68	0	2	64	0
69	0	1	64	0
70	0	0	64	0
71	0	0	59	0
72	0	0	59	0
73	0	0	49	5
74	0	0	14	1
75	0	0	0	0
76	0	0	0	0
77	0	1	36	4
78	0	5	54	4
79	0	7	55	4
80	0	1	55	4
81	0	1	55	4
82	0	1	54	4
